    1.000000	81288562849565456.000000
    2.000000	81288562199942224.000000
    3.000000	81288533410270320.000000
    4.000000	81288027228564976.000000
    5.000000	81283594508908704.000000
    6.000000	81261754988589152.000000
    7.000000	81180041210770400.000000
    8.000000	80934094471774480.000000
    9.000000	80317225808615152.000000
   10.000000	79008047233413024.000000
   11.000000	76586141326809328.000000
   12.000000	72635805139166496.000000
   13.000000	67272121640976168.000000
   14.000000	61671790885154184.000000
   15.000000	57423423269680984.000000
   16.000000	55112142848013208.000000
   17.000000	53995031781350872.000000
   18.000000	53229055619037312.000000
   19.000000	52601452141135824.000000
   20.000000	52054899422951512.000000
   21.000000	51558384430329728.000000
   22.000000	51114135260423920.000000
   23.000000	50709491021202496.000000
   24.000000	50334083224036224.000000
   25.000000	50015250910292568.000000
   26.000000	49666954525729104.000000
   27.000000	49353542311308624.000000
   28.000000	49046114776021096.000000
   29.000000	48787006704282472.000000
   30.000000	48547650749661416.000000
   31.000000	48295818442266912.000000
   32.000000	48072303189494544.000000
   33.000000	47860774786643424.000000
   34.000000	47686142082575248.000000
   35.000000	47476883623084192.000000
   36.000000	47305538850223752.000000
   37.000000	47138685438011448.000000
   38.000000	46990403565429632.000000
   39.000000	46839897323391008.000000
   40.000000	46707254377480032.000000
   41.000000	46568612706347784.000000
   42.000000	46446081767744408.000000
   43.000000	46320038707171792.000000
   44.000000	46215521482413872.000000
   45.000000	46088884146009080.000000
   46.000000	45991517636808896.000000
   47.000000	45894035965413480.000000
   48.000000	45801977437099432.000000
   49.000000	45724672375441112.000000
   50.000000	45616233600961736.000000
   51.000000	45544644691178696.000000
   52.000000	45473795572308624.000000
   53.000000	45371258747536808.000000
   54.000000	45305901831598000.000000
   55.000000	45230838253717896.000000
   56.000000	45150722109668248.000000
   57.000000	45073375908184904.000000
   58.000000	45026572211889968.000000
   59.000000	44942733537905776.000000
   60.000000	44891464436304384.000000
   61.000000	44815515362988416.000000
   62.000000	44753055449894480.000000
   63.000000	44703815726303048.000000
   64.000000	44637052403470240.000000
   65.000000	44602543164828496.000000
   66.000000	44523489035171032.000000
   67.000000	44455196995964688.000000
   68.000000	44446912616840328.000000
   69.000000	44371564099553432.000000
   70.000000	44321790562738160.000000
   71.000000	44247399937240744.000000
   72.000000	44203852204258000.000000
   73.000000	44155046141058288.000000
   74.000000	44095040074368536.000000
   75.000000	44033616357912904.000000
   76.000000	43997462229993424.000000
   77.000000	43937034829572056.000000
   78.000000	43891128236086400.000000
   79.000000	43839400948355160.000000
   80.000000	43808048930196792.000000
   81.000000	43745347922895600.000000
   82.000000	43712590276931456.000000
   83.000000	43654379034909576.000000
   84.000000	43631354977852648.000000
   85.000000	43586089651404936.000000
   86.000000	43511645643043440.000000
   87.000000	43482244204652160.000000
   88.000000	43422896804029544.000000
   89.000000	43389954097288320.000000
   90.000000	43340938086620056.000000
   91.000000	43311900084336864.000000
   92.000000	43261275019367592.000000
   93.000000	43199642639469424.000000
   94.000000	43175316868869360.000000
   95.000000	43120750291494776.000000
   96.000000	43086040020584608.000000
   97.000000	43053660382311608.000000
   98.000000	42989819744774192.000000
   99.000000	42948316472604224.000000
  100.000000	42905766607614216.000000
  101.000000	42854678458295856.000000
  102.000000	42810695229842528.000000
  103.000000	42783078183370192.000000
  104.000000	42718743282549744.000000
  105.000000	42683598404449344.000000
  106.000000	42650015913441160.000000
  107.000000	42601419549654768.000000
  108.000000	42552428349314664.000000
  109.000000	42505340172541136.000000
  110.000000	42465334571205376.000000
  111.000000	42444659941028216.000000
  112.000000	42400663629794736.000000
  113.000000	42343147925378088.000000
  114.000000	42286020361558048.000000
  115.000000	42248704954004960.000000
  116.000000	42210317643488496.000000
  117.000000	42168907747166200.000000
  118.000000	42129679896747112.000000
  119.000000	42079877449212672.000000
  120.000000	42042735855388984.000000
  121.000000	42037076007027544.000000
  122.000000	41948661943938936.000000
  123.000000	41916822524020408.000000
  124.000000	41862768647814800.000000
  125.000000	41822477144813616.000000
  126.000000	41783337121157792.000000
  127.000000	41740906263970384.000000
