,id,identifier,formula,temperature,efermi,e_per_atom,ele_cell,med_mass,var_mass,med_raio,var_raio,med_ele,var_ele,med_val,var_val,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,p1,p2,p3,p4,p5,p6,p7,e_l1,e_l2,e_l3,e_l4,e_l5,e_l6,e_l7,tetragonal,trigonal,orthorhombic,cubic,monoclinic,triclinic,hexagonal,⟨S²σ⟩,κₑᵉ
425,5e5dbf570b70d151110d6869,mp-778819,LiMnF3,300,-0.1786243,-2.9921235429060005,10,26.9591494,415.6394614857448,1.1166666666666665,0.1905555555555555,2.17,1.6922,0.6666666666666666,0.888888888888889,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,6,16,13,2,0,0,0,0,0,1,0,0,0,0,6.32891,876.517
431,5e5dbf580b70d151110d686f,mp-973335,Hg2H6CN3Cl5,300,-0.94652465,-0.7827015693476469,34,52.613668000000004,5598.7467018704965,0.82,0.1726,2.59,0.20583999999999997,0.6,0.6399999999999999,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,9,25,25,32,18,2,0,0,0,1,0,0,0,0,8.89752,717.495
433,5e5dbf580b70d151110d6871,mp-27133,BiPS4,300,3.03301929,-0.7357328551488092,48,90.673054,6998.512525510632,1.2,0.08000000000000003,2.263333333333333,0.05495555555555557,0.6666666666666666,0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,6,24,29,32,18,5,0,0,0,1,0,0,0,0,9.58271,996.26
435,5e5dbf580b70d151110d6873,mp-4405,Rb3AuO,300,0.91431783,-0.8016609559568966,5,99.47792299999999,5556.327815883325,1.4333333333333336,0.513888888888889,2.2666666666666666,1.1814222222222224,0.6666666666666666,0.888888888888889,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,6,22,36,40,19,1,0,0,0,0,1,0,0,0,12.8551,1522.87
437,5e5dbf580b70d151110d6875,mp-3977,CsB3O5,300,-0.27415581,-2.8292539513840995,36,53.23861730000001,3177.8888500185453,1.3499999999999999,0.7916666666666669,2.0900000000000003,1.1716666666666666,0.6666666666666666,0.888888888888889,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,6,17,18,18,8,1,0,0,0,1,0,0,0,0,8.50232,1100.98
439,5e5dbf590b70d151110d6877,mp-6610,K3Cu(CN)4,300,-0.7533232,-0.3650697923766657,24,32.165425,442.189369136875,1.225,0.39312500000000006,2.0774999999999997,0.6906187500000001,0.5,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,8,25,26,2,0,0,0,0,1,0,0,0,0,0,2.19057,113.044
440,5e5dbf590b70d151110d6878,mp-6999,ScPS4,300,1.77092814,-1.374993849732143,12,35.998224666666665,40.318547909654214,1.2,0.08000000000000003,2.0433333333333334,0.2588222222222222,0.6666666666666666,0.888888888888889,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,6,24,20,2,0,0,0,0,0,0,0,0,1,0,5.79846,277.318
443,5e5dbf590b70d151110d687b,mp-554657,Na2Tl2B10O17,300,0.60854857,-2.674974574174731,62,63.54586732,6630.403079498364,1.2874999999999999,0.32546875000000003,2.0075000000000003,0.8410687499999999,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,8,25,19,32,18,3,0,0,0,0,0,1,0,0,3.73821,139.425
445,5e5dbf590b70d151110d687d,mp-27308,SbBrF8,300,-2.12537822,-2.1020757562020003,40,73.5541344,1780.1513593833267,1.0333333333333332,0.1572222222222222,2.996666666666666,0.621488888888889,0.6666666666666666,0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,6,23,36,25,5,0,0,0,0,1,0,0,0,0,2.92942,172.872
452,5e5dbf5a0b70d151110d6884,mp-752452,Mg3Te4O11,300,4.00114972,-2.040680118958334,36,55.968133333333334,2577.0593263022224,1.1666666666666667,0.1622222222222222,2.283333333333333,0.7729555555555555,1.3333333333333333,0.888888888888889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6,22,20,18,6,0,0,0,0,0,0,0,1,0,8.66537,604.282
453,5e5dbf5b0b70d151110d6885,mp-553939,CaCO3,300,1.08161631,-2.693599331,20,22.696033333333332,153.71800388222226,1.0333333333333332,0.2955555555555556,2.3299999999999996,1.0164666666666664,0.6666666666666666,0.888888888888889,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,6,18,8,2,0,0,0,0,0,1,0,0,0,0,5.363,366.592
454,5e5dbf5b0b70d151110d6886,mp-772561,Li2CuSb(PO4)2,300,5.26414273,-2.2646842960204085,28,47.8440324,1736.373349666279,1.17,0.1086,2.112,0.6199760000000001,1.2,0.9600000000000002,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,10,31,41,19,5,0,0,0,0,0,0,1,0,0,5.99173,374.797
455,5e5dbf5b0b70d151110d6887,mp-14769,Ba2Zn3(AsO)2,300,3.25172005,-1.4208774380555562,9,73.41425,1861.9151861675,1.3125,0.30921875,2.04,0.8635499999999998,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,8,30,54,25,8,2,0,1,0,0,0,0,0,0,8.28572,6170.84
462,5e5dbf5c0b70d151110d688e,mp-569813,In5AgTe8,300,3.99449341,-0.3061073123809526,14,116.76206666666667,66.78035280888885,1.5166666666666668,0.007222222222222234,1.9366666666666665,0.017088888888888897,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,6,24,54,54,10,0,0,1,0,0,0,0,0,0,10.0953,4021.75
465,5e5dbf5c0b70d151110d6891,mp-763805,Na7(WO3)9,300,2.85675663,-2.184830989482559,43,74.27638976,6010.236554856445,1.25,0.24500000000000002,2.243333333333333,1.056822222222222,1.3333333333333333,0.888888888888889,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,6,22,19,32,12,2,0,0,0,0,0,0,1,0,15.9268,1205.9
466,5e5dbf5c0b70d151110d6892,mp-976047,Li3Hg,300,1.19834663,-0.2784643724999998,4,103.7655,9374.98380025,1.475,0.0006250000000000011,1.49,0.2601,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4,9,18,32,18,2,0,1,0,0,0,0,0,0,4.2025,2151000000.0
467,5e5dbf5c0b70d151110d6893,mp-557244,SiO2,300,0.98728552,-3.11194968,12,22.04245,36.518453302500006,0.8500000000000001,0.06250000000000003,2.67,0.5929,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,4,14,4,0,0,0,0,0,0,1,0,0,0,0,9.01754,1055.82
468,5e5dbf5d0b70d151110d6894,mp-540861,KNa3Al4(SiO4)4,300,1.85981066,-2.330554029339286,56,26.630901575999996,56.79229930358506,1.3900000000000001,0.3104000000000001,1.7400000000000002,0.8870000000000001,0.8,0.9600000000000002,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,10,38,16,1,0,0,0,0,0,0,0,0,0,1,2.5965,99.4234
469,5e5dbf5d0b70d151110d6895,mp-772739,Fe2CoO6,300,2.76704831,-1.2294630413888883,27,43.592531666666666,382.2799489800055,1.1166666666666667,0.1338888888888889,2.3833333333333333,0.5586888888888889,0.6666666666666666,0.888888888888889,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,6,22,29,4,0,0,0,0,0,0,0,1,0,0,10.8512,19313800.0
470,5e5dbf5d0b70d151110d6896,mp-317,SnRh,300,9.22397605,-0.4709197337500006,8,110.80775,62.44555506249992,1.4,0.0024999999999999935,2.12,0.025599999999999977,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,16,36,34,5,0,0,0,0,0,1,0,0,0,60.7009,151549000.0
476,5e5dbf5e0b70d151110d689c,mp-975129,Rb,300,0.02984965,0.05236033965517228,2,85.4678,0.0,2.35,0.0,0.82,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,18,8,1,0,0,0,0,0,0,0,0,1,2.45921,664308000.0
479,5e5dbf5e0b70d151110d689f,mp-765781,LiVF5,300,-1.28969363,-3.0460482529928576,14,25.62696773333333,344.6429339279489,1.0999999999999999,0.18166666666666664,2.1966666666666668,1.6605555555555558,0.6666666666666666,0.888888888888889,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,6,16,11,2,0,0,0,0,0,0,0,1,0,0,3.48295,91.7955
480,5e5dbf5e0b70d151110d68a0,mp-13554,SnHgO3,300,3.99612235,-1.47396906225,10,111.76646666666666,5703.054595635556,1.1833333333333333,0.17055555555555557,2.466666666666667,0.4739555555555555,0.6666666666666666,0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,6,22,36,50,22,2,0,0,1,0,0,0,0,0,3.63077,10885400.0
483,5e5dbf5f0b70d151110d68a3,mp-764510,FeOF,300,2.34494909,-2.2203840786837037,54,30.280934399999996,328.2597283661534,0.8333333333333334,0.16222222222222218,3.0833333333333335,0.8340222222222221,0.6666666666666666,0.888888888888889,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,6,21,14,2,0,0,0,0,0,0,0,1,0,0,0.700921,20.8838
484,5e5dbf5f0b70d151110d68a4,mp-780181,Na2Cr4O13,300,-1.39359561,-1.6758567190921039,76,30.32842309333333,242.8883217109759,1.2666666666666666,0.24888888888888894,2.01,1.1112666666666666,1.3333333333333333,0.888888888888889,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,6,22,14,1,0,0,0,0,0,0,0,1,0,0,0.61487,19.4586
485,5e5dbf5f0b70d151110d68a5,mp-558947,SiO2,300,-2.06182705,-3.2805864201388895,144,22.04245,36.518453302500006,0.8500000000000001,0.06250000000000003,2.67,0.5929,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,4,14,4,0,0,0,0,1,0,0,0,0,0,0,9.62046,694.693
486,5e5dbf5f0b70d151110d68a6,mp-4182,CrAgS2,300,4.12328841,-0.8019049236979168,4,63.97643333333334,1029.4517150955555,1.3333333333333333,0.062222222222222234,2.0566666666666666,0.14908888888888897,0.6666666666666666,0.888888888888889,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,6,24,37,19,1,0,0,0,1,0,0,0,0,0,15.53,1432.46
489,5e5dbf5f0b70d151110d68a9,mp-18951,LiFePO4,300,3.37385979,-2.539843850187076,84,27.4397905,342.60695701427073,1.1125,0.11796875,2.11,0.78265,1.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,8,23,19,2,0,0,0,0,0,1,0,0,0,0,80.0627,69959700.0
491,5e5dbf600b70d151110d68ab,mp-28589,Rb3Ge2Br7,300,-0.52832358,-1.2027362348778734,48,79.33726666666666,27.586002142222203,1.5833333333333333,0.2955555555555556,1.93,0.7664666666666665,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,6,24,54,19,1,0,0,0,0,0,0,1,0,0,10.7961,618.831
492,5e5dbf600b70d151110d68ac,mp-706271,K2NaMo(OF)3,300,-0.43367481,-2.577751064532,20,38.605174496,885.3625579228716,1.31,0.4424000000000001,2.266,1.640624,0.8,0.9600000000000002,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,10,37,27,14,1,0,0,1,0,0,0,0,0,0,0.0544092,0.137782
495,5e5dbf600b70d151110d68af,mp-558753,BiB2O4F,300,2.91536425,-2.6372596507737502,24,63.6973008,7044.305228211762,0.8875000000000001,0.18546875000000004,2.87,0.7421,0.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,8,24,18,32,18,5,0,0,1,0,0,0,0,0,6.93573,312.967
497,5e5dbf600b70d151110d68b1,mp-695259,Ba3LiTi5(SbO7)3,300,5.31997835,-2.9959226864267685,66,65.97888,2902.7094938176,1.4100000000000001,0.24139999999999998,1.78,0.8636399999999999,1.2,0.9600000000000002,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,10,31,46,38,13,2,0,0,0,0,0,0,1,0,4.35792,281.231
499,5e5dbf610b70d151110d68b3,mp-7087,SiO2,300,-0.96092561,-3.277681625000001,12,22.04245,36.518453302500006,0.8500000000000001,0.06250000000000003,2.67,0.5929,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,4,14,4,0,0,0,0,0,0,0,0,0,0,1,8.51388,867.824
500,5e5dbf610b70d151110d68b4,mp-568293,Ca3N2,300,2.8139048,-0.9120557129519995,20,27.042350000000003,169.92817092250004,1.225,0.330625,2.02,1.0404,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4,13,8,2,0,0,0,0,0,1,0,0,0,0,10.7026,1913.58
504,5e5dbf86aa1573695a05b9f9,mp-1836,TlSe,300,3.54869644,-0.2755411967968753,8,141.67165,3932.7510457225,1.525,0.140625,2.085,0.21622499999999986,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,4,16,36,38,18,3,0,1,0,0,0,0,0,0,19.4267,2383.78
505,5e5dbf86aa1573695a05b9fa,mp-505171,NaTiCuS3,300,4.46178338,-1.3822658768090286,24,41.61694232,239.53949232070093,1.3875000000000002,0.08046874999999999,1.7375,0.35681874999999996,1.0,1.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,8,32,35,3,0,0,0,0,0,1,0,0,0,0,6.41806,5078.92
508,5e5dbf86aa1573695a05b9fd,mp-13688,Ge2Mo,300,6.19989787,-0.16078249999999983,12,84.28999999999999,135.72249999999997,1.35,0.009999999999999995,2.085,0.005625000000000027,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,16,36,17,1,0,0,0,0,1,0,0,0,0,31.4086,77808600.0
511,5e5dbf87aa1573695a05ba00,mp-696470,Ag7NO6,300,1.71923771,-0.19949396011047632,14,45.9581,1917.0920498866665,0.9500000000000001,0.2116666666666667,2.8033333333333332,0.40802222222222223,0.6666666666666666,0.888888888888889,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,6,19,18,18,1,0,0,0,0,0,1,0,0,0,53.8827,223291000.0
512,5e5dbf87aa1573695a05ba01,mp-975272,Hg,300,0.46280066,0.0,2,200.59,0.0,1.5,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,18,32,18,2,0,0,0,1,0,0,0,0,25.078,194890.0
513,5e5dbf87aa1573695a05ba02,mp-28021,Sr5(Br4Cl)2,300,0.17263352,-2.296580801101334,30,67.659,528.535994,1.3833333333333335,0.19388888888888892,2.356666666666667,0.9960222222222224,0.6666666666666666,0.888888888888889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,6,24,43,15,2,0,0,1,0,0,0,0,0,0,9.93939,1855.27
514,5e5dbf87aa1573695a05ba03,mp-558153,Ba4Nb2(OF4)3,300,2.19408577,-3.8195100023268256,126,66.30779580000001,2630.0813406990446,1.1749999999999998,0.45312499999999994,2.4775,1.6185187499999998,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,8,29,36,30,9,2,0,0,0,0,0,1,0,0,0.0479902,0.011782
515,5e5dbf87aa1573695a05ba04,mp-699229,HPb3ClO3,300,3.01502039,-1.5131019072662504,32,64.915085,6897.469727543674,0.9125,0.33296875000000004,2.7825,0.27971874999999996,0.25,0.1875,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,7,22,25,32,18,4,0,0,0,1,0,0,0,0,9.37055,872.346
516,5e5dbf87aa1573695a05ba05,mp-10378,Cs3Sb,300,2.48496663,-0.3049573496551723,4,127.33272595,31.05527451380339,2.025,0.33062500000000006,1.42,0.39689999999999986,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,4,16,36,36,13,1,0,0,0,0,1,0,0,0,11.1002,3079.82
519,5e5dbf88aa1573695a05ba08,mp-14099,ZnAgF3,300,-0.91837479,-2.0168205020473335,5,64.09186773333333,1317.1742159161624,1.1500000000000001,0.22166666666666668,2.52,1.0788666666666666,0.6666666666666666,0.888888888888889,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,6,23,36,20,1,0,0,0,0,0,1,0,0,0,9.76769,1275.13
520,5e5dbf88aa1573695a05ba09,mp-569114,BaAg2SnSe4,300,3.10891031,-0.736060431588542,8,110.71629999999999,447.15071437000006,1.5875,0.13171875,1.8325,0.3572187499999999,0.5,0.75,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,8,32,72,60,13,2,0,0,0,1,0,0,0,0,3.82429,67700.3
521,5e5dbf88aa1573695a05ba0a,mp-753785,NbOF3,300,-2.95813636,-3.282277900463999,20,42.63472773333333,1265.1185141759277,0.85,0.18166666666666664,3.0066666666666664,1.0379555555555555,0.6666666666666666,0.888888888888889,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,6,21,18,12,1,0,0,1,0,0,0,0,0,0,11.2964,268.212
524,5e5dbf88aa1573695a05ba0d,mp-505552,Cd2Ru2O7,300,2.91440011,-1.4334788005681836,22,76.49346666666666,1851.2024311022224,1.1500000000000001,0.16166666666666668,2.4433333333333334,0.5400222222222222,0.6666666666666666,0.888888888888889,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,6,22,36,33,3,0,0,0,0,0,1,0,0,0,4.10609,133160000.0
525,5e5dbf88aa1573695a05ba0e,mp-18043,Sr6YSc(BO3)6,300,1.54689705,-3.361309429453126,32,49.6584324,1129.1215134414792,1.3699999999999999,0.29960000000000003,1.802,0.799936,0.8,0.9600000000000002,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,10,33,45,19,4,0,0,0,1,0,0,0,0,0,4.86228,90.0714
527,5e5dbf89aa1573695a05ba10,mp-774155,Li2FeO3,300,1.96464707,-1.9719979127083327,12,26.261799999999997,451.25862954666667,1.1500000000000001,0.15166666666666664,2.0833333333333335,1.0406888888888888,0.6666666666666666,0.888888888888889,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,6,15,14,2,0,0,0,0,0,0,0,1,0,0,3.26766,75109.0
529,5e5dbf89aa1573695a05ba12,mp-775192,VNi3(PO4)4,300,2.13319478,-2.119847512440477,24,39.1520155,280.9462719384207,1.0750000000000002,0.09562500000000003,2.2924999999999995,0.47811875000000004,1.5,0.75,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,8,30,32,4,0,0,0,0,0,0,0,1,0,0,8.71763,3525160.0
531,5e5dbf89aa1573695a05ba14,mp-759405,Bi3O2F5,300,2.74986952,-2.4674332498450005,40,81.32606773333333,8149.31327658987,0.9,0.24666666666666673,3.1466666666666665,0.6832888888888888,0.6666666666666666,0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,6,21,18,32,18,5,0,0,0,1,0,0,0,0,8.26279,666.578
532,5e5dbf89aa1573695a05ba15,mp-755217,Cs2BaO2,300,1.94048089,-1.8024417474827588,20,95.41061730000001,3156.3290644673457,1.7833333333333332,0.7338888888888889,1.7066666666666668,1.5038888888888886,0.6666666666666666,0.888888888888889,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,6,22,36,36,16,3,0,0,0,1,0,0,0,0,9.64466,1449.87
535,5e5dbf8aaa1573695a05ba18,mp-505443,Na3(FeSe2)2,300,2.281326,-0.652964924486111,36,52.598256426666666,527.3817930571626,1.45,0.0716666666666667,1.7700000000000002,0.43919999999999987,0.6666666666666666,0.888888888888889,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,6,24,33,8,0,0,0,0,0,1,0,0,0,0,2.35821,22362100.0
537,5e5dbf8aaa1573695a05ba1a,mp-569115,Li2ZnGe,300,1.87982524,-0.33397113437500003,16,48.330000000000005,865.2392206666667,1.3500000000000003,0.006666666666666664,1.5466666666666666,0.1821555555555555,0.6666666666666666,0.888888888888889,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,6,17,36,6,0,0,0,0,1,0,0,0,0,0,22.211,327430000.0
541,5e5dbf8aaa1573695a05ba1e,mp-608354,OsC3IO3,300,0.2361106,-0.898017760000001,32,86.2861425,5727.810392677418,1.0,0.125,2.7125000000000004,0.20526874999999994,0.5,0.75,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,8,26,36,50,21,2,0,0,0,0,0,1,0,0,3.42006,163.605
542,5e5dbf8aaa1573695a05ba1f,mp-770359,TaAsO4,300,1.96230481,-2.607724943333333,24,90.62295999999999,4657.933195309867,1.0666666666666667,0.12388888888888888,2.373333333333333,0.6459555555555555,0.6666666666666666,0.888888888888889,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,6,22,36,37,11,2,0,0,0,1,0,0,0,0,9.13181,791.865
544,5e5dbf8baa1573695a05ba21,mp-561160,NbP4(S2Cl)5,300,0.01628324,-0.9634877997748219,40,47.849535499999995,679.4341552185007,1.1125,0.037968749999999996,2.3825,0.32321875000000005,0.5,0.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,8,32,36,12,1,0,0,0,0,0,0,0,1,0,0.0119582,0.00588032
550,5e5dbf8baa1573695a05ba27,mp-22892,RuBr3,300,0.6481503,-0.32368333375000047,8,90.487,111.99988899999997,1.225,0.00562500000000001,2.58,0.14439999999999992,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4,16,36,22,1,0,0,0,0,0,0,0,0,1,37.9715,153216000.0
551,5e5dbf8baa1573695a05ba28,mp-850062,LiNiO2,300,3.41428387,-1.3705484623750004,20,27.211266666666663,509.23812803555546,1.1333333333333333,0.1438888888888889,2.11,1.0286,0.6666666666666666,0.888888888888889,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,6,15,16,2,0,0,0,0,0,0,0,0,1,0,18.8027,69491700.0
554,5e5dbf8caa1573695a05ba2b,mp-752393,Be2P2O7,300,2.8453043,-2.7836201777759753,22,18.661781333333334,83.92930319810758,0.8833333333333333,0.04055555555555556,2.4,0.6048666666666666,1.3333333333333333,0.888888888888889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,6,16,5,0,0,0,0,0,0,0,0,1,0,0,8.70032,951.714
555,5e5dbf8caa1573695a05ba2c,mp-567650,Mn2Fe(CN)6,300,1.06986873,0.013404792214667319,15,34.20011125,449.6767336881297,1.0375,0.13171874999999997,2.2424999999999997,0.34506875,0.5,0.75,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,8,25,27,4,0,0,0,0,1,0,0,0,0,0,3.57876,208.617
557,5e5dbf8caa1573695a05ba2e,mp-974335,RuRh3,300,7.19827522,0.05166038749999924,4,101.98775,0.8422650625000094,1.3250000000000002,0.0006250000000000011,2.24,0.0015999999999999851,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,16,36,31,2,0,0,0,0,0,1,0,0,0,7.40823,3461310000.0
559,5e5dbf8caa1573695a05ba30,mp-759798,Bi7(O2F3)3,300,3.35876735,-2.326655436395909,88,81.32606773333333,8149.31327658987,0.9,0.24666666666666673,3.1466666666666665,0.6832888888888888,0.6666666666666666,0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,6,21,18,32,18,5,0,0,0,1,0,0,0,0,9.55575,1003.07
560,5e5dbf8daa1573695a05ba31,mp-758708,Li2CuSiO4,300,2.54763934,-2.342513581875,32,28.642975,462.34191005187495,1.125,0.108125,2.055,0.7804749999999999,1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,8,23,22,1,0,0,0,0,0,1,0,0,0,0,80.2594,14312900.0
561,5e5dbf8daa1573695a05ba32,mp-720515,HN,300,-0.20929247,-0.21932565049999936,40,7.50732,42.2419403844,0.45,0.04000000000000001,2.62,0.17639999999999995,1.5,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,1,0,0,4.23871,145.649
563,5e5dbf8daa1573695a05ba34,mp-13949,Cd(GaTe2)2,300,2.79995404,-0.3800597892857144,7,103.24466666666666,600.3020215555556,1.4166666666666667,0.010555555555555556,1.8666666666666665,0.02962222222222224,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,6,24,54,39,8,0,0,1,0,0,0,0,0,0,11.033,2489.64
564,5e5dbf8daa1573695a05ba35,mp-770376,Mn2P4O13,300,1.2952115,-2.4772617710127065,38,33.97040233333333,257.19293904968424,1.0,0.10666666666666665,2.393333333333333,0.6160222222222221,1.3333333333333333,0.888888888888889,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,6,22,18,2,0,0,0,0,0,1,0,0,0,0,2.06859,86.0583
565,5e5dbf8daa1573695a05ba36,mp-561172,BaBi4(BrO3)2,300,4.07354011,-1.697224741730769,13,110.5527,5071.13615509,1.375,0.325625,2.3275,0.9496687499999998,0.5,0.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,8,30,54,57,26,7,0,1,0,0,0,0,0,0,0.0108817,101329000.0
566,5e5dbf8daa1573695a05ba37,mp-90,Cr,300,7.09104195,0.0,1,51.9961,0.0,1.4,0.0,1.66,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8,13,1,0,0,0,0,0,0,1,0,0,0,1.50633,2541540000.0
