,id,identifier,formula,temperature,energy,volume,⟨S²σ⟩p,⟨S²σ⟩n,κₑᵉ
55,5e5dbf015a4b4bd4eb1ed636,mp-24291,ThH2,300,-15.62789629,40.81796389858611,90077.6,90.0942,488970000.0
56,5e5dbf015a4b4bd4eb1ed637,mp-558946,BaSbSe2F,300,-93.9699716,578.2317781296088,2489.39,14.2383,755.209
57,5e5dbf015a4b4bd4eb1ed638,mp-3829,CdSnAs2,300,-29.54500657,236.1827741313351,3229.51,4.44379,166245.0
58,5e5dbf015a4b4bd4eb1ed639,mp-13495,ZrPd,300,-30.05414504,77.61739663017389,9479.92,9.48076,550822000.0
59,5e5dbf015a4b4bd4eb1ed63a,mp-774708,ZnH12C3S4(N3O2)2,300,-683.82024696,1355.3575866022143,973.383,2.23517,52.7704
60,5e5dbf015a4b4bd4eb1ed63b,mp-5671,Sr(CoP)2,300,-30.89117046,83.31097146137235,53808.1,53.8106,684045000.0
62,5e5dbf025a4b4bd4eb1ed63d,mp-11300,TiCdHg2,300,-9.21021955,82.80596533385945,81607.2,81.6009,818179000.0
63,5e5dbf025a4b4bd4eb1ed63e,mp-7361,Sr(CoGe)2,300,-27.27880094,89.34431035703808,4245.46,4.24569,560508000.0
64,5e5dbf025a4b4bd4eb1ed63f,mp-541473,Sb(OF3)2,300,-138.02928724,523.2333624597919,535.235,0.898531,33.5241
65,5e5dbf025a4b4bd4eb1ed640,mp-777474,LiFeF4,300,-122.46880674,313.43921168412066,1859.02,1.78808,46.0366
66,5e5dbf025a4b4bd4eb1ed641,mp-554996,K5B19O31,300,-840.67107012,1380.418923732659,273.059,8.16451,914.324
67,5e5dbf025a4b4bd4eb1ed642,mp-504353,LiSb(PO3)4,300,-248.25380659,467.5786716827803,1048.89,6.0553,296.131
68,5e5dbf025a4b4bd4eb1ed643,mp-981336,Zn3C,300,-8.7973786,51.18916420224997,25683.2,25.6851,2349940000.0
70,5e5dbf035a4b4bd4eb1ed645,mp-8207,Zn(PtO2)3,300,-56.03071891,116.87226493352038,1051.09,2.89952,353.894
71,5e5dbf035a4b4bd4eb1ed646,mp-23021,K2ReBr6,300,-33.34691757,305.071212257426,5875.3,6.36476,348.619
72,5e5dbf035a4b4bd4eb1ed647,mp-766966,K2InH2Cl5O,300,-166.05879708,1045.505688933819,478.655,9.2807,962.129
74,5e5dbf035a4b4bd4eb1ed649,mp-680247,K3P6S6N7,300,-524.22382884,2290.8176497878394,1844.97,6.49688,435.796
75,5e5dbf035a4b4bd4eb1ed64a,mp-626165,NaH9O5,300,-145.12265235,283.50316785728813,39.1492,8.56115,912.376
77,5e5dbf035a4b4bd4eb1ed64c,mp-555489,LiY6B3O14,300,-824.91761843,1173.349642963684,651.483,2.22967,125.004
78,5e5dbf035a4b4bd4eb1ed64d,mp-9767,BaAs2Pd,300,-39.40614038,193.4315996505059,24921.6,24.9233,616162000.0
79,5e5dbf045a4b4bd4eb1ed64e,mp-770719,RbLi2Ni2(BO3)3,300,-210.91484912,411.29712982868693,1299.3,3.37505,133.944
80,5e5dbf045a4b4bd4eb1ed64f,mp-554315,CaBeB2O5,300,-273.872449,339.06700779871073,726.08,7.45219,641.515
81,5e5dbf045a4b4bd4eb1ed650,mp-872,BaSn,300,-14.66151474,162.19235056852048,15710.0,15.7277,180435000.0
